time,altitude (m),speed (km/h),distance (km)
2013-10-05 11:00:53,51.6,2.5,0.000
2013-10-05 11:00:57,51.6,7.6,0.014
2013-10-05 11:01:01,51.6,12.3,0.035
2013-10-05 11:01:05,51.8,15.9,0.056
2013-10-05 11:01:06,51.8,17.0,0.060
2013-10-05 11:01:08,51.8,18.2,0.070
2013-10-05 11:01:11,51.6,17.5,0.083
2013-10-05 11:01:13,51.8,17.0,0.092
2013-10-05 11:01:16,51.8,16.4,0.105
2013-10-05 11:01:18,52.0,16.0,0.113
2013-10-05 11:01:21,52.0,15.8,0.128
2013-10-05 11:01:23,52.2,16.1,0.137
2013-10-05 11:01:25,52.2,16.1,0.146
2013-10-05 11:01:27,52.4,16.1,0.155
2013-10-05 11:01:30,52.4,16.5,0.169
2013-10-05 11:01:32,52.4,16.4,0.178
2013-10-05 11:01:33,52.4,16.2,0.182
2013-10-05 11:01:35,52.4,15.9,0.190
2013-10-05 11:01:41,52.4,14.8,0.213
2013-10-05 11:01:44,52.4,13.3,0.221
2013-10-05 11:01:45,52.4,12.5,0.222
2013-10-05 11:01:48,52.2,10.8,0.229
2013-10-05 11:01:49,52.2,10.7,0.233
2013-10-05 11:01:53,52.0,12.9,0.257
2013-10-05 11:01:57,52.2,16.5,0.279
2013-10-05 11:01:58,52.2,17.7,0.285
2013-10-05 11:02:02,52.2,19.2,0.303
2013-10-05 11:02:04,52.2,18.4,0.313
2013-10-05 11:02:06,52.2,17.7,0.322
2013-10-05 11:02:08,52.4,17.1,0.330
2013-10-05 11:02:13,52.4,15.9,0.352
2013-10-05 11:02:14,52.4,15.8,0.356
2013-10-05 11:02:18,52.2,15.0,0.371
2013-10-05 11:02:22,52.6,16.2,0.393
2013-10-05 11:02:25,52.8,16.9,0.409
2013-10-05 11:02:28,52.8,17.7,0.423
2013-10-05 11:02:31,53.0,18.0,0.436
2013-10-05 11:02:34,53.0,16.7,0.448
2013-10-05 11:02:39,53.6,15.5,0.469
2013-10-05 11:02:40,53.8,15.3,0.474
2013-10-05 11:02:45,54.6,14.8,0.494
2013-10-05 11:02:50,55.8,14.2,0.512
2013-10-05 11:02:56,57.2,13.7,0.535
2013-10-05 11:02:58,57.8,13.6,0.543
2013-10-05 11:03:04,59.2,13.2,0.564
2013-10-05 11:03:05,59.4,13.1,0.568
2013-10-05 11:03:11,60.4,13.1,0.590
2013-10-05 11:03:13,61.0,13.3,0.598
2013-10-05 11:03:18,62.0,13.2,0.616
2013-10-05 11:03:22,62.6,13.7,0.632
2013-10-05 11:03:27,63.0,14.4,0.653
2013-10-05 11:03:29,63.2,14.8,0.662
2013-10-05 11:03:34,63.6,15.2,0.683
2013-10-05 11:03:36,63.8,15.2,0.691
2013-10-05 11:03:41,64.2,15.4,0.713
2013-10-05 11:03:43,64.2,15.3,0.721
2013-10-05 11:03:48,64.4,15.6,0.744
2013-10-05 11:03:49,64.4,15.7,0.748
2013-10-05 11:03:54,64.2,15.7,0.770
2013-10-05 11:03:59,64.2,15.6,0.791
2013-10-05 11:04:00,64.2,15.6,0.796
2013-10-05 11:04:05,64.0,15.8,0.818
2013-10-05 11:04:08,64.0,16.2,0.832
2013-10-05 11:04:10,63.8,16.3,0.841
2013-10-05 11:04:15,63.6,16.5,0.864
2013-10-05 11:04:17,63.6,16.3,0.872
2013-10-05 11:04:19,63.4,16.1,0.881
2013-10-05 11:04:23,63.2,15.9,0.898
2013-10-05 11:04:28,62.6,15.6,0.919
2013-10-05 11:04:29,62.6,15.5,0.923
2013-10-05 11:04:34,62.0,15.6,0.946
2013-10-05 11:04:38,61.4,15.7,0.964
2013-10-05 11:04:40,61.2,16.7,0.976
2013-10-05 11:04:41,61.0,17.2,0.981
2013-10-05 11:04:44,60.4,17.7,0.996
2013-10-05 11:04:45,60.2,17.6,1.000
2013-10-05 11:04:46,60.2,17.5,1.005
2013-10-05 11:04:46,60.2,17.5,1.005
2013-10-05 11:04:48,59.8,17.6,1.014
2013-10-05 11:04:52,59.2,16.3,1.030
2013-10-05 11:04:53,59.0,15.8,1.034
2013-10-05 11:04:59,58.2,14.4,1.057
2013-10-05 11:05:03,57.6,14.1,1.073
2013-10-05 11:05:08,57.2,14.0,1.092
2013-10-05 11:05:13,56.6,13.2,1.108
2013-10-05 11:05:18,56.2,11.8,1.123
2013-10-05 11:05:19,56.2,11.6,1.126
2013-10-05 11:05:23,56.0,11.9,1.142
2013-10-05 11:05:28,55.8,12.9,1.161
2013-10-05 11:05:32,55.8,14.6,1.179
2013-10-05 11:05:36,55.6,14.6,1.195
2013-10-05 11:05:40,55.4,14.5,1.210
2013-10-05 11:05:44,55.4,14.2,1.227
2013-10-05 11:05:48,55.4,13.9,1.241
2013-10-05 11:05:53,55.4,14.0,1.260
2013-10-05 11:05:57,55.4,14.3,1.278
2013-10-05 11:06:01,55.2,14.4,1.293
2013-10-05 11:06:07,55.0,14.4,1.317
2013-10-05 11:06:12,54.8,14.1,1.337
2013-10-05 11:06:18,54.6,14.0,1.360
2013-10-05 11:06:20,54.6,14.2,1.368
2013-10-05 11:06:25,54.6,14.2,1.388
2013-10-05 11:06:30,54.6,14.5,1.408
2013-10-05 11:06:35,54.8,14.3,1.429
2013-10-05 11:06:40,55.0,14.7,1.449
2013-10-05 11:06:42,55.0,14.7,1.458
2013-10-05 11:06:47,55.4,14.6,1.477
2013-10-05 11:06:53,55.8,14.0,1.500
2013-10-05 11:06:58,56.0,14.3,1.520
2013-10-05 11:07:00,56.4,13.8,1.527
2013-10-05 11:07:05,57.4,14.0,1.547
2013-10-05 11:07:06,57.4,14.2,1.551
2013-10-05 11:07:11,58.4,13.6,1.568
2013-10-05 11:07:17,59.6,12.5,1.588
2013-10-05 11:07:22,60.8,12.3,1.607
2013-10-05 11:07:27,61.6,14.4,1.629
2013-10-05 11:07:32,61.8,15.6,1.650
2013-10-05 11:07:36,61.8,15.5,1.666
2013-10-05 11:07:40,62.0,14.4,1.681
2013-10-05 11:07:46,62.8,13.9,1.705
2013-10-05 11:07:47,62.6,14.1,1.710
2013-10-05 11:07:51,62.8,15.0,1.728
2013-10-05 11:07:57,62.8,14.8,1.749
2013-10-05 11:08:01,62.8,13.3,1.763
2013-10-05 11:08:06,63.4,12.5,1.782
2013-10-05 11:08:11,63.0,14.4,1.804
2013-10-05 11:08:16,63.0,14.8,1.822
2013-10-05 11:08:21,62.8,14.4,1.844
2013-10-05 11:08:25,62.6,15.4,1.862
2013-10-05 11:08:30,62.2,15.3,1.882
2013-10-05 11:08:31,62.2,15.4,1.887
2013-10-05 11:08:36,61.8,14.7,1.906
2013-10-05 11:08:41,61.6,13.6,1.923
2013-10-05 11:08:46,61.6,11.4,1.937
2013-10-05 11:08:51,63.2,10.7,1.953
2013-10-05 11:08:56,64.8,11.6,1.971
2013-10-05 11:09:02,67.2,12.9,1.992
2013-10-05 11:09:05,67.8,13.3,2.004
2013-10-05 11:09:07,68.4,13.8,2.012
2013-10-05 11:09:12,69.6,12.6,2.026
2013-10-05 11:09:17,70.8,11.7,2.043
2013-10-05 11:09:21,71.0,11.4,2.058
2013-10-05 11:09:25,73.2,10.8,2.062
2013-10-05 11:09:28,74.8,9.6,2.068
2013-10-05 11:09:31,75.8,8.8,2.078
2013-10-05 11:09:36,76.6,11.8,2.102
2013-10-05 11:09:41,78.2,14.8,2.121
2013-10-05 11:09:46,79.4,15.4,2.141
2013-10-05 11:09:51,79.4,14.9,2.163
2013-10-05 11:09:56,79.4,14.3,2.181
2013-10-05 11:10:02,80.0,13.1,2.203
2013-10-05 11:10:07,80.8,12.6,2.218
2013-10-05 11:10:12,81.4,12.8,2.238
2013-10-05 11:10:18,81.2,13.5,2.260
2013-10-05 11:10:24,83.0,13.3,2.281
2013-10-05 11:10:29,84.4,12.9,2.298
2013-10-05 11:10:34,85.6,14.3,2.320
2013-10-05 11:10:35,85.8,14.9,2.325
2013-10-05 11:10:37,86.2,15.6,2.335
2013-10-05 11:10:40,86.6,16.5,2.347
2013-10-05 11:10:44,87.4,15.9,2.364
2013-10-05 11:10:45,87.2,16.1,2.368
2013-10-05 11:10:47,87.2,15.5,2.376
2013-10-05 11:10:50,87.0,13.8,2.384
2013-10-05 11:10:55,86.4,13.5,2.405
2013-10-05 11:10:56,86.4,13.1,2.407
2013-10-05 11:11:00,85.6,14.2,2.428
2013-10-05 11:11:01,85.4,14.7,2.431
2013-10-05 11:11:05,84.6,13.7,2.442
2013-10-05 11:11:10,83.6,13.1,2.462
2013-10-05 11:11:15,83.0,13.9,2.483
2013-10-05 11:11:16,83.0,14.2,2.486
2013-10-05 11:11:21,82.4,13.6,2.502
2013-10-05 11:11:24,82.4,16.3,2.522
2013-10-05 11:11:26,82.2,15.9,2.531
2013-10-05 11:11:29,82.0,16.4,2.543
2013-10-05 11:11:31,82.0,17.6,2.552
2013-10-05 11:11:33,82.0,17.8,2.560
2013-10-05 11:11:36,82.0,15.5,2.573
2013-10-05 11:11:41,82.4,15.8,2.596
2013-10-05 11:11:42,82.4,15.6,2.599
2013-10-05 11:11:47,83.4,15.3,2.619
2013-10-05 11:11:52,84.6,14.1,2.638
2013-10-05 11:11:57,87.0,13.2,2.655
2013-10-05 11:12:02,88.8,13.1,2.674
2013-10-05 11:12:07,90.6,12.7,2.690
2013-10-05 11:12:11,92.0,12.3,2.703
2013-10-05 11:12:16,95.2,10.2,2.712
2013-10-05 11:12:21,97.4,10.9,2.733
2013-10-05 11:12:22,98.0,11.2,2.738
2013-10-05 11:12:27,100.0,14.4,2.758
2013-10-05 11:12:28,100.6,14.4,2.760
2013-10-05 11:12:30,100.8,14.6,2.768
2013-10-05 11:12:32,101.0,15.3,2.779
2013-10-05 11:12:35,101.4,15.2,2.792
2013-10-05 11:12:36,101.4,15.3,2.797
2013-10-05 11:12:41,101.4,16.0,2.817
2013-10-05 11:12:46,101.2,15.9,2.841
2013-10-05 11:12:47,101.0,15.8,2.845
2013-10-05 11:12:49,101.0,16.3,2.856
2013-10-05 11:12:51,100.8,16.6,2.865
2013-10-05 11:12:54,100.6,16.7,2.878
2013-10-05 11:12:56,100.4,16.5,2.888
2013-10-05 11:12:57,100.2,16.7,2.893
2013-10-05 11:12:59,100.0,17.1,2.902
2013-10-05 11:13:00,100.0,16.8,2.907
2013-10-05 11:13:04,99.4,17.6,2.928
2013-10-05 11:13:05,99.2,17.7,2.933
2013-10-05 11:13:08,98.8,17.8,2.947
2013-10-05 11:13:10,98.4,17.5,2.956
2013-10-05 11:13:13,98.0,16.5,2.968
2013-10-05 11:13:18,97.0,16.8,2.993
2013-10-05 11:13:20,96.4,17.2,3.004
2013-10-05 11:13:23,95.6,17.8,3.019
2013-10-05 11:13:25,95.0,18.1,3.027
2013-10-05 11:13:27,94.4,18.2,3.037
2013-10-05 11:13:32,93.0,16.6,3.059
2013-10-05 11:13:33,92.8,16.2,3.063
2013-10-05 11:13:38,91.4,15.0,3.082
2013-10-05 11:13:43,90.0,14.6,3.102
2013-10-05 11:13:48,88.8,14.9,3.124
2013-10-05 11:13:49,88.6,15.2,3.128
2013-10-05 11:13:55,87.4,14.3,3.150
2013-10-05 11:14:00,86.2,12.6,3.165
2013-10-05 11:14:05,85.0,13.3,3.186
2013-10-05 11:14:10,84.2,14.7,3.206
2013-10-05 11:14:15,83.4,13.7,3.223
2013-10-05 11:14:21,82.8,10.7,3.238
2013-10-05 11:14:26,82.6,11.3,3.258
2013-10-05 11:14:31,82.6,13.5,3.279
2013-10-05 11:14:32,82.6,14.2,3.283
2013-10-05 11:14:37,83.0,15.2,3.305
2013-10-05 11:14:39,82.8,16.5,3.316
2013-10-05 11:14:42,82.2,18.1,3.335
2013-10-05 11:14:44,82.0,18.3,3.344
2013-10-05 11:14:46,81.6,18.6,3.354
2013-10-05 11:14:48,81.4,18.2,3.360
2013-10-05 11:14:50,81.0,17.9,3.369
2013-10-05 11:14:53,80.4,15.1,3.379
2013-10-05 11:14:55,80.4,14.3,3.387
2013-10-05 11:14:59,79.8,14.2,3.404
2013-10-05 11:15:03,79.6,13.8,3.417
2013-10-05 11:15:09,79.6,13.4,3.440
2013-10-05 11:15:14,79.6,15.0,3.464
2013-10-05 11:15:19,79.6,16.8,3.487
2013-10-05 11:15:20,79.6,16.9,3.491
2013-10-05 11:15:25,79.6,15.1,3.508
2013-10-05 11:15:30,79.8,12.7,3.525
2013-10-05 11:15:35,80.0,13.3,3.544
2013-10-05 11:15:40,79.8,14.1,3.561
2013-10-05 11:15:44,80.0,15.4,3.585
2013-10-05 11:15:47,79.8,16.4,3.598
2013-10-05 11:15:50,79.8,17.2,3.609
2013-10-05 11:15:54,79.8,15.5,3.623
2013-10-05 11:15:57,79.8,13.4,3.633
2013-10-05 11:16:00,79.8,13.1,3.646
2013-10-05 11:16:05,79.8,13.7,3.664
2013-10-05 11:16:11,80.2,12.2,3.683
2013-10-05 11:16:15,80.4,11.5,3.694
2013-10-05 11:16:17,80.6,10.9,3.700
2013-10-05 11:16:22,81.0,10.8,3.715
2013-10-05 11:16:23,81.2,10.9,3.718
2013-10-05 11:16:28,81.8,12.0,3.737
2013-10-05 11:16:33,81.8,12.9,3.751
2013-10-05 11:16:35,81.8,11.7,3.755
2013-10-05 11:16:39,82.0,11.6,3.767
2013-10-05 11:16:43,82.8,12.4,3.785
2013-10-05 11:16:45,83.2,15.2,3.801
2013-10-05 11:16:47,83.6,18.4,3.817
2013-10-05 11:16:49,84.0,21.7,3.834
2013-10-05 11:16:51,84.2,23.3,3.847
2013-10-05 11:16:55,84.6,24.8,3.864
2013-10-05 11:16:56,84.8,23.7,3.868
2013-10-05 11:17:00,84.4,20.4,3.888
2013-10-05 11:17:02,84.4,17.7,3.895
2013-10-05 11:17:05,84.2,18.3,3.915
2013-10-05 11:17:07,84.0,18.8,3.927
2013-10-05 11:17:10,83.6,20.6,3.947
2013-10-05 11:17:11,83.4,20.5,3.951
2013-10-05 11:17:15,83.4,21.1,3.972
2013-10-05 11:17:16,83.4,20.1,3.974
2013-10-05 11:17:21,83.8,17.3,3.995
2013-10-05 11:17:22,84.0,17.2,4.002
2013-10-05 11:17:23,84.2,16.9,4.006
2013-10-05 11:17:23,84.2,16.9,4.006
2013-10-05 11:17:25,84.8,16.4,4.011
2013-10-05 11:17:29,85.8,16.5,4.027
2013-10-05 11:17:32,86.2,17.6,4.045
2013-10-05 11:17:33,86.4,18.4,4.052
2013-10-05 11:17:34,86.4,18.1,4.054
2013-10-05 11:17:36,86.8,17.9,4.060
2013-10-05 11:17:41,87.2,17.0,4.078
2013-10-05 11:17:42,87.2,15.9,4.081
2013-10-05 11:17:46,87.4,12.5,4.091
